Tür,İlaç,Ruhsat Sahibi,İthal/Yerli,İmal,Menşei,İthalatçı,İhracatçı,Takdim,Etken Madde,Grup,Uygulama,Türler,Açıklama
İlaç,FASİZAK,Anadolu İlaç Ve Kimya San. A.ş,Yerli,Damla İlaç Ve Kimya San. Tic. Ltd. Şti.,-,-,-,Karton kutu içerisinde 10-20 ve 50 tabletlik alüminyum folyö kaplı blister ambalajlar ile 100 tabletlik kahve renkli cam şişelerde,"1 tablet ürün içinde ;500 mg triklabendazol, 375 mg levamizol HCl",antihelmintik,oral,"Koyun (Besi), Sığır(Besi)",
İlaç,FASİZAK,Anadolu İlaç Ve Kimya San. A.ş,Yerli,Damla İlaç Ve Kimya San. Tic. Ltd. Şti.,-,-,-,Karton kutu içerisinde 10-20 ve 50 tabletlik alüminyum folyö kaplı blister ambalajlar ile 100 tabletlik kahve renkli cam şişelerde,"1 tablet ürün içinde ;500 mg triklabendazol, 375 mg levamizol HCl",antihelmintik,oral,"Koyun (Besi), Sığır(Besi)",
İlaç,FAVETRİM,Vilsan Veteriner İlaçları Tic. San. A.ş,Yerli,Vilsan Veteriner İlaçları Tic. San. A.ş,-,-,-,"20, 50 ve 100 ml'lik kahverengi cam şişelerde kutulu olarak takdim edilmiştir.","1 ml ürün içinde ;200 mg süfametoksazol, 40 mg trimetoprim",antibakteriyel,enjeksiyonluk,"At, Köpek, Keçi (Besi), Sığır(Besi), Keçi (Süt), Koyun (Süt), Sığır(Süt)",
İlaç,FAVETRİM,Vilsan Veteriner İlaçları Tic. San. A.ş,Yerli,Vilsan Veteriner İlaçları Tic. San. A.ş,-,-,-,"5x2 tablet içeren blisterler karton kutularda, 10, 20, 50 ve 100 tabletlik beşli alüminyum folyo kaplı pvc blister ambalajlarda kutulu takdim edilmiştir.","1 tablet ürün içinde ;200 mg trimetoprim, 1000 mg sülfametoksazol",antibakteriyel,oral-uterus içi,"At, Koyun (Süt), Keçi (Besi), Sığır(Besi), Keçi (Süt), Koyun (Besi), Sığır(Süt)","buzağı,kuzuve oğlaklarda"
İlaç,FAVETRİM,Vilsan Veteriner İlaçları Tic. San. A.ş,Yerli,Vilsan Veteriner İlaçları Tic. San. A.ş,-,-,-,"100 ml'lik beyaz polietilen şişelerde/karton kutuda, 500 ml, 1L'lik beyaz renkli polietilen bidonlarda","1 ml ürün içinde ;80 mg trimetoprim, 400 mg sülfametoksazol",antibakteriyel,oral,"Hindi (Et), Koyun (Süt), Keçi (Besi), Sığır(Besi), Keçi (Süt), Koyun (Besi), Sığır(Süt), Tavuk (Et)","Sadece kuzu, buzağı ve oğlaklarda"
İlaç,FAVETRİM AQUA/VİP,Vilsan Veteriner İlaçları Tic. San. A.ş,Yerli,Vilsan Veteriner İlaçları Tic. San. A.ş,-,-,-,"100 gramlık polietilen şişelerde, 500-1000 gramlık beyaz polietilen kavanozlarda, 5 ve 25 kg'lık beyaz polietilen kavanozlarda takdim edilmiştir.","1 g ürün içinde ;416 mg sülfadiazin, 83 mg trimetoprim",antibakteriyel,yem-ilaçlı premiks,Balık,
Aşı,Fel-O-Vax FIV,Pfizer İlaçları Limited Şirketi,İthal,Ford Dodge Animal Health,Ford Dodge Animal Health,Pfizer İlaçları Limited Şirketi,Ford Dodge Animal Health,1 dozluk plastik şırıngada veya 1 veya 10 dozluk cam veya plastik konteynerlerde,"1 ürün içinde ;1 Kedi immun yetersizlik virüsü-ölü virus, 1 FIV shizuoka, 1 FIV petaluma",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax FIV,Pfizer İlaçları Limited Şirketi,İthal,Ford Dodge Animal Health,Ford Dodge Animal Health,Pfizer İlaçları Limited Şirketi,Ford Dodge Animal Health,1 dozluk plastik şırıngada veya 1 veya 10 dozluk cam veya plastik konteynerlerde,"1 ürün içinde ;1 Kedi immun yetersizlik virüsü-ölü virus, 1 FIV shizuoka, 1 FIV petaluma",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax FIV,Pfizer İlaçları Limited Şirketi,İthal,Ford Dodge Animal Health,Ford Dodge Animal Health,Pfizer İlaçları Limited Şirketi,Ford Dodge Animal Health,1 dozluk plastik şırıngada veya 1 veya 10 dozluk cam veya plastik konteynerlerde,"1 ürün içinde ;1 Kedi immun yetersizlik virüsü-ölü virus, 1 FIV shizuoka, 1 FIV petaluma",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax IV,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,"1 dozluk enjeksiyon 1,5 ve 10 dozluk cam veya plastik konteynerlerde","1 ürün içinde ;1 Rhinotracheitis (FVR), 1 Calisi virus (FCV), 1 Panleukopenia (FVP), 1 Chlamydia psittaci",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax IV,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,"1 dozluk enjeksiyon 1,5 ve 10 dozluk cam veya plastik konteynerlerde","1 ürün içinde ;1 Rhinotracheitis (FVR), 1 Calisi virus (FCV), 1 Panleukopenia (FVP), 1 Chlamydia psittaci",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax IV,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,"1 dozluk enjeksiyon 1,5 ve 10 dozluk cam veya plastik konteynerlerde","1 ürün içinde ;1 Rhinotracheitis (FVR), 1 Calisi virus (FCV), 1 Panleukopenia (FVP), 1 Chlamydia psittaci",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax IV,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,"1 dozluk enjeksiyon 1,5 ve 10 dozluk cam veya plastik konteynerlerde","1 ürün içinde ;1 Rhinotracheitis (FVR), 1 Calisi virus (FCV), 1 Panleukopenia (FVP), 1 Chlamydia psittaci",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax Lvk,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,1 dozluk enjeksiyon 1 ve 10 dozluk cam veya plastik konteynerlerde,"1 ürün içinde ;1 Rhinotracheitis (FVR), 1 Calisi virus (FCV), 1 Panleukopenia (FVP), 1 Chlamydia psittaci",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax Lvk,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,1 dozluk enjeksiyon 1 ve 10 dozluk cam veya plastik konteynerlerde,"1 ürün içinde ;1 Rhinotracheitis (FVR), 1 Calisi virus (FCV), 1 Panleukopenia (FVP), 1 Chlamydia psittaci",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax Lvk,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,1 dozluk enjeksiyon 1 ve 10 dozluk cam veya plastik konteynerlerde,"1 ürün içinde ;1 Rhinotracheitis (FVR), 1 Calisi virus (FCV), 1 Panleukopenia (FVP), 1 Chlamydia psittaci",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax Lvk,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,1 dozluk enjeksiyon 1 ve 10 dozluk cam veya plastik konteynerlerde,"1 ürün içinde ;1 Rhinotracheitis (FVR), 1 Calisi virus (FCV), 1 Panleukopenia (FVP), 1 Chlamydia psittaci",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax PCT,Pfizer İlaçları Limited Şirketi,İthal,Ford Dodge Animal Health,Ford Dodge Animal Health,Pfizer İlaçları Limited Şirketi,Ford Dodge Animal Health,1000 ve 2500 dozluk cam şişelerde,"1 ürün içinde ;1 Rhinotracheitis (FVR) 605 MS-1 suşu, 1 Calisi virus (FCV) 255 MS-1 suşu, 1 Panleukopenia (FVP) CU 4 suşu",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax PCT,Pfizer İlaçları Limited Şirketi,İthal,Ford Dodge Animal Health,Ford Dodge Animal Health,Pfizer İlaçları Limited Şirketi,Ford Dodge Animal Health,1000 ve 2500 dozluk cam şişelerde,"1 ürün içinde ;1 Rhinotracheitis (FVR) 605 MS-1 suşu, 1 Calisi virus (FCV) 255 MS-1 suşu, 1 Panleukopenia (FVP) CU 4 suşu",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax PCT,Pfizer İlaçları Limited Şirketi,İthal,Ford Dodge Animal Health,Ford Dodge Animal Health,Pfizer İlaçları Limited Şirketi,Ford Dodge Animal Health,1000 ve 2500 dozluk cam şişelerde,"1 ürün içinde ;1 Rhinotracheitis (FVR) 605 MS-1 suşu, 1 Calisi virus (FCV) 255 MS-1 suşu, 1 Panleukopenia (FVP) CU 4 suşu",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax PCT + Calisivax,Pfizer İlaçları Limited Şirketi,İthal,Ford Dodge Animal Health,Ford Dodge Animal Health,Pfizer İlaçları Limited Şirketi,Ford Dodge Animal Health,1000-2500 dozluk cam şişelerde,"1 ürün içinde ;1 (FCV) 255 suşu, 1 (FCV) DDI suşu, 1 (FVR) 605 suşu, 1 (FPV) CU-4 suşu, 1 Feline chlamydia psittaci (FCP)",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax PCT + Calisivax,Pfizer İlaçları Limited Şirketi,İthal,Ford Dodge Animal Health,Ford Dodge Animal Health,Pfizer İlaçları Limited Şirketi,Ford Dodge Animal Health,1000-2500 dozluk cam şişelerde,"1 ürün içinde ;1 (FCV) 255 suşu, 1 (FCV) DDI suşu, 1 (FVR) 605 suşu, 1 (FPV) CU-4 suşu, 1 Feline chlamydia psittaci (FCP)",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax PCT + Calisivax,Pfizer İlaçları Limited Şirketi,İthal,Ford Dodge Animal Health,Ford Dodge Animal Health,Pfizer İlaçları Limited Şirketi,Ford Dodge Animal Health,1000-2500 dozluk cam şişelerde,"1 ürün içinde ;1 (FCV) 255 suşu, 1 (FCV) DDI suşu, 1 (FVR) 605 suşu, 1 (FPV) CU-4 suşu, 1 Feline chlamydia psittaci (FCP)",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax PCT + Calisivax,Pfizer İlaçları Limited Şirketi,İthal,Ford Dodge Animal Health,Ford Dodge Animal Health,Pfizer İlaçları Limited Şirketi,Ford Dodge Animal Health,1000-2500 dozluk cam şişelerde,"1 ürün içinde ;1 (FCV) 255 suşu, 1 (FCV) DDI suşu, 1 (FVR) 605 suşu, 1 (FPV) CU-4 suşu, 1 Feline chlamydia psittaci (FCP)",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax PCT + Calisivax,Pfizer İlaçları Limited Şirketi,İthal,Ford Dodge Animal Health,Ford Dodge Animal Health,Pfizer İlaçları Limited Şirketi,Ford Dodge Animal Health,1000-2500 dozluk cam şişelerde,"1 ürün içinde ;1 (FCV) 255 suşu, 1 (FCV) DDI suşu, 1 (FVR) 605 suşu, 1 (FPV) CU-4 suşu, 1 Feline chlamydia psittaci (FCP)",,enjeksiyonluk,Kedi,
Aşı,Fel-O-Vax VI + Calisivax,Pfizer İlaçları Limited Şirketi,İthal,Ford Dodge Animal Health,Ford Dodge Animal Health,Pfizer İlaçları Limited Şirketi,Ford Dodge Animal Health,"1 ml'lik plastik veya cam şişeler, her bir plastik konteyner 50x1 ml'lik plastik veya cam şişeler içermektedir","1 ürün içinde ;1 (FVR) 605 suşu, 1 (FCV) 255 suşu, 1 (FCV) DDI suşu, 1 (FPV) CU-4 suşu, 1 Feline chlamydia psittaci (FCP)",,enjeksiyonluk,Kedi,İzin Tarih ve No : 09.11.2012-P-0034
Aşı,Fel-O-Vax VI + Calisivax,Pfizer İlaçları Limited Şirketi,İthal,Ford Dodge Animal Health,Ford Dodge Animal Health,Pfizer İlaçları Limited Şirketi,Ford Dodge Animal Health,"1 ml'lik plastik veya cam şişeler, her bir plastik konteyner 50x1 ml'lik plastik veya cam şişeler içermektedir","1 ürün içinde ;1 (FVR) 605 suşu, 1 (FCV) 255 suşu, 1 (FCV) DDI suşu, 1 (FPV) CU-4 suşu, 1 Feline chlamydia psittaci (FCP)",,enjeksiyonluk,Kedi,İzin Tarih ve No : 09.11.2012-P-0034
Aşı,Fel-O-Vax VI + Calisivax,Pfizer İlaçları Limited Şirketi,İthal,Ford Dodge Animal Health,Ford Dodge Animal Health,Pfizer İlaçları Limited Şirketi,Ford Dodge Animal Health,"1 ml'lik plastik veya cam şişeler, her bir plastik konteyner 50x1 ml'lik plastik veya cam şişeler içermektedir","1 ürün içinde ;1 (FVR) 605 suşu, 1 (FCV) 255 suşu, 1 (FCV) DDI suşu, 1 (FPV) CU-4 suşu, 1 Feline chlamydia psittaci (FCP)",,enjeksiyonluk,Kedi,İzin Tarih ve No : 09.11.2012-P-0034
Aşı,Fel-O-Vax VI + Calisivax,Pfizer İlaçları Limited Şirketi,İthal,Ford Dodge Animal Health,Ford Dodge Animal Health,Pfizer İlaçları Limited Şirketi,Ford Dodge Animal Health,"1 ml'lik plastik veya cam şişeler, her bir plastik konteyner 50x1 ml'lik plastik veya cam şişeler içermektedir","1 ürün içinde ;1 (FVR) 605 suşu, 1 (FCV) 255 suşu, 1 (FCV) DDI suşu, 1 (FPV) CU-4 suşu, 1 Feline chlamydia psittaci (FCP)",,enjeksiyonluk,Kedi,İzin Tarih ve No : 09.11.2012-P-0034
Aşı,Fel-O-Vax VI + Calisivax,Pfizer İlaçları Limited Şirketi,İthal,Ford Dodge Animal Health,Ford Dodge Animal Health,Pfizer İlaçları Limited Şirketi,Ford Dodge Animal Health,"1 ml'lik plastik veya cam şişeler, her bir plastik konteyner 50x1 ml'lik plastik veya cam şişeler içermektedir","1 ürün içinde ;1 (FVR) 605 suşu, 1 (FCV) 255 suşu, 1 (FCV) DDI suşu, 1 (FPV) CU-4 suşu, 1 Feline chlamydia psittaci (FCP)",,enjeksiyonluk,Kedi,İzin Tarih ve No : 09.11.2012-P-0034
Aşı,Felocell CVR,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,25 doz aşı ve sulandırma sıvısı içeren plastik kutularda,"1 ürün içinde ;1 F. parvo virus (FPV) Snow leopard suşu, 1 F. rhinotracheitis FVRm suşu, 1 FCV F-9",,enjeksiyonluk,Kedi,
Aşı,Felocell CVR,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,25 doz aşı ve sulandırma sıvısı içeren plastik kutularda,"1 ürün içinde ;1 F. parvo virus (FPV) Snow leopard suşu, 1 F. rhinotracheitis FVRm suşu, 1 FCV F-9",,enjeksiyonluk,Kedi,
Aşı,Felocell CVR,Pfizer İlaçları Limited Şirketi,İthal,PFIZER ANIMAL HEALTH,PFIZER ANIMAL HEALTH,Pfizer İlaçları Limited Şirketi,PFIZER ANIMAL HEALTH,25 doz aşı ve sulandırma sıvısı içeren plastik kutularda,"1 ürün içinde ;1 F. parvo virus (FPV) Snow leopard suşu, 1 F. rhinotracheitis FVRm suşu, 1 FCV F-9",,enjeksiyonluk,Kedi,
İlaç,FENETRİN %10,Ani-med Animal Medicine İlaç San. ve Tic. Ltd. Şti.,Yerli,Farmatek Pazarlama San. Tic. Ltd. Şti.,-,-,-,"Karton kutu içerisinde 100ml, 500ml ve 1000 ml'lik alüminyum kapaklı amber rengi cam şişelerde satışa sunulmuştur.","100 ml ürün içinde ;10,4 g fenvalerat",ektoparaziter,haricen-deri,"Sığır(Besi), Sığır(Süt)",
İlaç,FENOKS,Biovita İlaç Gıda Yem San. Ve Tic. A.ş,Yerli,Damla İlaç Ve Kimya San. Tic. Ltd. Şti.,-,-,-,Karton kutu içerisinde 10 ve 100 tabletlik blister ambalajlarda,"1 tablet ürün içinde ;375mg oksifendazol , 750mg oksiklozanid",antihelmintik,oral,"Koyun (Besi), Sığır(Süt), Sığır(Besi)",
İlaç,FENOKS,Biovita İlaç Gıda Yem San. Ve Tic. A.ş,Yerli,Damla İlaç Ve Kimya San. Tic. Ltd. Şti.,-,-,-,Karton kutu içerisinde 10 ve 100 tabletlik blister ambalajlarda,"1 tablet ürün içinde ;375mg oksifendazol , 750mg oksiklozanid",antihelmintik,oral,"Koyun (Besi), Sığır(Süt), Sığır(Besi)",
İlaç,FENOZAK,Anadolu İlaç Ve Kimya San. A.ş,Yerli,Damla İlaç Ve Kimya San. Tic. Ltd. Şti.,-,-,-,Karton kutu içerisinde 10-20 ve 50 tabletlik alüminyum folyö kaplı blister ambalajlarda,"1 tablet ürün içinde ;375 mg oksifendazol , 750 mg oksiklozanid",antihelmintik,oral,"Koyun (Besi), Tavuk (Et), Sığır(Besi)",
İlaç,FENOZAK,Anadolu İlaç Ve Kimya San. A.ş,Yerli,Damla İlaç Ve Kimya San. Tic. Ltd. Şti.,-,-,-,Karton kutu içerisinde 10-20 ve 50 tabletlik alüminyum folyö kaplı blister ambalajlarda,"1 tablet ürün içinde ;375 mg oksifendazol , 750 mg oksiklozanid",antihelmintik,oral,"Koyun (Besi), Tavuk (Et), Sığır(Besi)",
İlaç,FERCOBSANG,Novakim İlaç Ve Kim. San. Ve Tic. A.ş,İthal,Vetoquinol,Vetoquinol,Novakim İlaç Ve Kim. San. Ve Tic. A.ş,Vetoquinol,"Karton kutu içerisinde,50 ve 100 mL'lik bal renkli cam flakonlarda","1 mL. ürün içinde ;10 mg demir amonyum sülfat, 20 mg Niasinamid, 0.025 mg Vit. B12, 0.05 mg kobalt glukonat",vit.-min.-aminoasit vb.,"enjeksiyonluk, oral","At, Sığır(Süt), Sığır(Besi), Keçi (Süt), Köpek, Keçi (Besi), Kedi, Koyun (Besi), Koyun (Süt)",
İlaç,FERCOBSANG,Novakim İlaç Ve Kim. San. Ve Tic. A.ş,İthal,Vetoquinol,Vetoquinol,Novakim İlaç Ve Kim. San. Ve Tic. A.ş,Vetoquinol,"Karton kutu içerisinde,50 ve 100 mL'lik bal renkli cam flakonlarda","1 mL. ürün içinde ;10 mg demir amonyum sülfat, 20 mg Niasinamid, 0.025 mg Vit. B12, 0.05 mg kobalt glukonat",vit.-min.-aminoasit vb.,"enjeksiyonluk, oral","At, Sığır(Süt), Sığır(Besi), Keçi (Süt), Köpek, Keçi (Besi), Kedi, Koyun (Besi), Koyun (Süt)",
İlaç,FERCOBSANG,Novakim İlaç Ve Kim. San. Ve Tic. A.ş,İthal,Vetoquinol,Vetoquinol,Novakim İlaç Ve Kim. San. Ve Tic. A.ş,Vetoquinol,"Karton kutu içerisinde,50 ve 100 mL'lik bal renkli cam flakonlarda","1 mL. ürün içinde ;10 mg demir amonyum sülfat, 20 mg Niasinamid, 0.025 mg Vit. B12, 0.05 mg kobalt glukonat",vit.-min.-aminoasit vb.,"enjeksiyonluk, oral","At, Sığır(Süt), Sığır(Besi), Keçi (Süt), Köpek, Keçi (Besi), Kedi, Koyun (Besi), Koyun (Süt)",
İlaç,FERTILIN,Provet Veteriner Ürünleri San. Tic.ltd. Şti.,Yerli,Provet Veteriner Ürünleri San. Tic.ltd. Şti.,-,-,-,Karton kutuda 5-10 -20 ml.lik renksiz cam şişelerde arzedilir.,1 ml ürün içinde ;0.004 mg Buserelin Asetat,hormon,enjeksiyonluk,"At, Sığır(Süt)",
İlaç,FİBROGUARD Sprey,SANTAVET İLAÇ SAN. TİC. LTD. ŞTİ.,Yerli,ALBAFARMA İLAÇ VE PREMİKS SAN.LTD. ŞTİ,-,-,-,Karton kutu içinde 100 ve 250 ml'lik beyaz renkli polietilen şişeler beyaz renkli püskürtücü sprey pompa ile kapatılmış olarak,"1 ml ürün içinde ;2,5 mg fipronil",ektoparaziter,haricen-deri,"Kedi, Köpek",
İlaç,FİBROLİNE,Bavet İlaç San. Ve Tic. A.ş,İthal,Cipla Ltd.,Cipla Ltd.,Bavet İlaç San. Ve Tic. A.ş,Cipla Ltd.,"Karton kutu içinde 100 ml'lik HDPE şişelerde, kutusuz 250 ml'lik HDPE şişelerde satışa sunulmaktadır.","100 ml ürün içinde ;0,25 gr fipronil",ektoparaziter,haricen-deri,"Kedi, Köpek",
İlaç,FINADYN,İntervet Veteriner İlaçları Pazarlama Ve Ticaret Ltd. Şti.,İthal,Schering-Plough Santé Animale,Schering-Plough Santé Animale,İntervet Veteriner İlaçları Pazarlama Ve Ticaret Ltd. Şti.,Schering-Plough Santé Animale,"10, 50, 100 ve 250 ml'lik berrak cam şişelerde, karton kutuda satışa sunulmuştur.",1 ml ürün içinde ;50 ml fluniksin meglumin,antienflamatuvar-analjezik,enjeksiyonluk,"At, Sığır(Süt), Sığır(Besi)",
İlaç,FİPREX 75,Oruç Özel Veterinerlik Hizmetleri Hayvancılık Gıda Sanayi Ve Ticaret Limited Şirketi,İthal,VET-AGRO Sp.z o.o.,VET-AGRO Sp.z o.o.,Oruç Özel Veterinerlik Hizmetleri Hayvancılık Gıda Sanayi Ve Ticaret Limited Şirketi,VET-AGRO Sp.z o.o.,"0.7,1, 2, 4 ve 5.5 ml.lik polietilen tüplerde satışa sunulmuştur.Bir kutuda aynı ambalaj miktarında 3 adet tüp bulunmaktadır.",1 adet tüp ürün içinde ;75 mg fipronil,ektoparaziter,haricen-deri,"Kedi, Köpek",
İlaç,FİPREX SPRAY,Oruç Özel Veterinerlik Hizmetleri Hayvancılık Gıda Sanayi Ve Ticaret Limited Şirketi,İthal,VET-AGRO Sp.z o.o.,VET-AGRO Sp.z o.o.,Oruç Özel Veterinerlik Hizmetleri Hayvancılık Gıda Sanayi Ve Ticaret Limited Şirketi,VET-AGRO Sp.z o.o.,FİBREX SPREY 100 ve 250 ml.lik polietilen şişelerde satışa sunulmuştur.,1 ml ürün içinde ;5 mg fipronil,ektoparaziter,haricen-deri,"Kedi, Köpek",
İlaç,FİPROES KEDİ,Teknovet İlaç San. Ve Tic. A.Ş.,Yerli,Teknovet İlaç San. Ve Tic. A.Ş.,-,-,-,"karton kutu içerisinde 1, 3 veya 5 adetlik 0.5 ml'lik pipetlerde satışa sunulmuştur.","1 ml ürün içinde ;100 mg fipronil, 120 mg S-Methoprene",ektoparaziter,haricen-deri,Kedi,
İlaç,FİPROES KEDİ,Teknovet İlaç San. Ve Tic. A.Ş.,Yerli,Teknovet İlaç San. Ve Tic. A.Ş.,-,-,-,"karton kutu içerisinde 1, 3 veya 5 adetlik 0.5 ml'lik pipetlerde satışa sunulmuştur.","1 ml ürün içinde ;100 mg fipronil, 120 mg S-Methoprene",ektoparaziter,haricen-deri,Kedi,
İlaç,FİPROES KÖPEK,Teknovet İlaç San. Ve Tic. A.Ş.,Yerli,Teknovet İlaç San. Ve Tic. A.Ş.,-,-,-,"karton kutu içerisinde 1, 3 veya 5 adetlik 0.67 ml, 1.34 ml, 2.68 ml ve 4.02 ml'lik pipetlerde satışa sunulmuştur.","1 ml ürün içinde ;100 mg fipronil, 90 mg S-Methoprene",ektoparaziter,haricen-deri,Köpek,
İlaç,FİPROVET DROP KEDİ,Hektaş Ticaret A.ş.,Yerli,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,-,-,-,"0.5 ml'lik 1,3 veya 6 adet yeşil pipet içeren karton kutularda arz edilmektedir.","1 ml ürün içinde ;100 mg fipronil, 120 mg S-Methoprene",ektoparaziter,haricen-deri,Kedi,
İlaç,FİPROVET DROP KÖPEK,Hektaş Ticaret A.ş.,Yerli,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,-,-,-,"0.67 ml, 1.34 ml, 2.68 ml ve 4.02 ml'lik 1,3 veya 6 adet yeşil pipet içeren karton kutularda arz edilmektedir.","1 ml ürün içinde ;100 mg fipronil, 90 mg S-Methoprene",ektoparaziter,haricen-deri,Köpek,
İlaç,FISHLICE VİP,Indukern İstanbul Kimya Sanayi Ve Tic. Ltd. Şti.,Yerli,Alke Sağlık Ürünleri San.ve Tic. A.Ş.,-,-,-,"Beyaz renkte 1 kg'lik yüksek yoğunluklu polietilen (HDPE) kavanozlarda, beyaz renkte HDPE vidalı kilitli kapaklı ambalajlarda kutusuz",1g ürün içinde ;2mg emamektin benzoat,endektosit,yem-ilaçlı premiks,Balık,gökkuşağı alabalığı ve atlantik somon balığı
İlaç,FİSHSÜLFA %50/VİP,Teknovet İlaç San. Ve Tic. A.Ş.,Yerli,Teknovet İlaç San. Ve Tic. A.Ş.,-,-,-,"Fishsülfa %50 Oral Toz, kutu içerisinde 20 g'lık beyaz renkli polietilen şişelerde, 10 x 100 g'lık alüminyum folyo poşetlerde ve kutusuz olarak 500 g, 1 kg ve 5 kg'lık beyaz renkli polietilen ambalajlarda satışa sunulmuştur.","1 g ürün içinde ;416.7 mg sülfadiazin, 83,3 mg trimetoprim",antibakteriyel,oral,Balık,
İlaç,FİTADİNON –K,Provet Veteriner Ürünleri San. Tic.ltd. Şti.,Yerli,Provet Veteriner Ürünleri San. Tic.ltd. Şti.,-,-,-,"Karton kutuda 10 , 20 ve 50 ml.lik koyu renkli cam şişelerde arzedilir.",1 ml ürün içinde ;10 mg Vit. K1,vit.-min.-aminoasit vb.,enjeksiyonluk,"At, Keçi (Süt), Koyun (Süt), Sığır(Besi), Keçi (Besi), Koyun (Besi), Köpek, Sığır(Süt), domuzlarda",
İlaç,FLEA DROPS CAT,Tropikal Bahçe Ve Evcil Hayvan Ürünleritic. Ve San.a.ş,İthal,Beaphar B.,Beaphar B.,Tropikal Bahçe Ve Evcil Hayvan Ürünleritic. Ve San.a.ş,Beaphar B.,"Karton kutu içinde 4 adet 0,4 ml.lik HDPE polietilen tüplerde, piyasaya sunulmuştur.",1 ml ürün içinde ;150 mg Diazinon,ektoparaziter,haricen-deri,Kedi,
İlaç,FLEA DROPS DOG,Tropikal Bahçe Ve Evcil Hayvan Ürünleritic. Ve San.a.ş,İthal,Beaphar B.,Beaphar B.,Oruç Özel Veterinerlik Hizmetleri Hayvancılık Gıda Sanayi Ve Ticaret Limited Şirketi,Beaphar B.,"Karton kutu içinde 4 adet 0,4 ml'lik ve 1.4 ml'lik HDPE polietilen tüplerde, piyasaya sunulmuştur.",1 ml ürün içinde ;300 mg Diazinon,ektoparaziter,haricen-deri,Köpek,
İlaç,FLOZAN % 1,Provet Veteriner Ürünleri San. Tic.ltd. Şti.,Yerli,Provet Veteriner Ürünleri San. Tic.ltd. Şti.,-,-,-,"Karton kutu içerisinde 100 ml, 250 ml ve 500 ml'lik, kutusuz olarak 1 L ve 5 L'lik beyaz polietilen şişelerde.",1 ml ürün içinde ;10 mg flumetrin,ektoparaziter,haricen-deri,"Koyun (Besi), Sığır(Süt), Sığır(Besi)",
